community,Incentive Amount,Total Cost,Ratio
EAST SIDE,27356.25,36475,0.75
NEAR WEST SIDE,117630,130700,0.9
LOWER WEST SIDE,150000,1307174.39,0.11475133015725622
EDGEWATER,9732.5,19465,0.5
EDGEWATER,22500,45000,0.5
AUSTIN,108865.11,217730.22,0.5
IRVING PARK,100000,201168,0.4970969537898672
NORTH PARK,91729,184248,0.49785615040597453
OAKLAND,19725,26300,0.75
ALBANY PARK,63507,151606,0.4188950305396884
ALBANY PARK,97897.17,177994.85,0.5500000140453501
NORTH LAWNDALE,47144.71,62859.6,0.7500001590846903
WEST GARFIELD PARK,83737.5,134875,0.6208526413345691
AVONDALE,19365.92,21517.69,0.8999999535266099
SOUTH CHICAGO,17000,240000,0.07083333333333333
NORTH LAWNDALE,72197.45,96263.26,0.7500000519408963
NEAR NORTH SIDE,124625,287942.59,0.4328119713030295
MOUNT GREENWOOD,25917.69,34556.92,0.75
UPTOWN,79650,88500,0.9
WEST RIDGE,5250,7000,0.75
PORTAGE PARK,15562.5,20750,0.75
NORTH LAWNDALE,145358.55,290717.1,0.5
GREATER GRAND CROSSING,54450,72600,0.75
