PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Bokster Properties LLC,Zhouhao (Joe) Cui - 3201 S. Halsted St.,3201,,S,Halsted,St,11,Bridgeport,35th/Halsted,05/15/2018,04/24/2019,Commercial,"roofing repairs including installation of new modified bitumen membrane on all firewalls to cover entire brick and clay copings and top of parapet walls to be sealed to prevent water damage; rehabilitation of masonry façade including rebuilding the parapet walls, installation of new bricks and limestone as needed at north and west elevations, new flashing and termination bars, restoration work of decorative stones and limestone cornice, tuck-pointing, remove and reset copings at roofline; installation of new storefront glass, glass bi-fold windows (only at 751-53 W. 32nd Street), and entry doors; renovations at 3203 S. Halsted include installation of new flooring (ceramic, linoleum or vinyl), gut renovation of the restroom, new lighting fixtures, and repair walls and ceilings as needed; renovations at 751-55 W. 32nd Street include removal of existing flooring down to the joist system, replacement of joists and repairs as needed, installation of new sub-flooring and vinyl tile finishing, repair walls and ceilings as needed; electrical work including new electrical panels and junction boxes, and replacement of light fixtures, and painting and finishing work.",100000,145050,4,11,POINT (-87.645876989 41.836087011)
Louis Meskan Brass Foundry Inc.,Donald Meskan,2007,27,N,Major,Ave,36,BELMONT CRAGIN,Galewood/Armitage,01/23/2023,04/17/2023,Manufacturing,"roofing work including removal of the existing skylights
and non-operative vents along the north side, and replacement with new thermos break
bronze skylights, new tapered saddles and insulation, modified base sheet, application
of bitumen membrane, apply a reflective aluminum coating, new flashings, install new
metal pitch pans, and seal tops with sealant; new siding including new flashings,
plywood, new air/moisture barrier, foam insulation board, and trim..",41242.5,82485,1,86,POINT (-87.767833009 41.917206986)
Three Pillars Wellness Center,Tim Wang,1516,,E,53rd,St,4,Hyde Park,53rd Street,,02/20/2009,Commercial,"build out walls, remove walls, remove 3 doors, 1 new door, floor, lectrical, lighting, signage, windows",6425,12850,,,POINT (-87.588338995 41.799818013)
Yong Chul Park,Yong Chul Park,2601,,W,Armitage,Ave,1,Logan Square,Fullerton/Milwaukee,06/25/2019,05/14/2020,Mixed-Use: Retail and Residential,"masonry work including rebuild outside course brick at east elevation, replace all lintels, flashing system, reset existing copings and provide limestone base, rebuild parapet walls to roof level at west elevation, reset existing clay copings on two-story area and install new clay copings on one-story area, replace CMU blocks with common brick on south wall opening, tuckpointing, and replace damaged bricks as needed",96000,128000,2,2,POINT (-87.692510964 41.917272993)
"Marigold, Inc.",Rob Bult,8815,,S,Dobson,Ave,8,Burnside,Stony Island/Burnside,11/05/2013,12/04/2014,Industrial,"new roofing systems, new wrought iron fence and gate",86803.75,210457,0,16,POINT (-87.598615041 41.733629015)
Racine Paper Box Mfg. Inc.,Atul Patel,3522,,W,Potomac,Ave,26,Humboldt Park,Division/Homan,08/07/2018,12/06/2019,Manufacturing,"Remove and replace existing skylights with eight (8) curb mounted skylights; remove and replace two (2) valley beams; remove and replace existing electrical metering system; installation of surveillance system (not including expenses associated with software and monitor systems); remove and replace existing docking system, and remove and replace existing guard rail system.Shore and raise truss systems as necessary including removal and replacement of existing bottom and top chord systems.",44665.89,89331.77,5,12,POINT (-87.715361038 41.904854994)
Bertina Power-Stewart,Bertina Power-Stewart,8053,,S,Stony Island,Ave,8,Avalon Park,Stony Island/Burnside,,12/05/2008,Landlord,"Roof, doors, electrical, HVAC, plumbing",49500,66000,,,POINT (-87.585180023 41.748116003)
"La Michoacana, Inc. dba La Michoacana Ice Cream Shop",Carmela Esparza,6610,,S,Pulaski,Rd,13,West Lawn,63rd/Pulaski,05/23/2014,01/25/2016,Commercial,"demolition; removal of concrete for new rough underground plumbing and electrical; new framing and partitions; install rough plumbing, electrical, and mechanical HVAC systems; purchase new kitchen exhaust hood and rooftop condenser unit; architectural and engineering services, and permit fees, plumbing work, electrical system upgrades, installation of insulation, drywall, ceiling, tile flooring, wall tiles, and duct work. , HVAC ducts, exhaust hood and fire suppression system.",97396.69,129862.25,4,4,POINT (-87.722891005 41.772810012)
Diana Lopez-Obaldo,Diana Lopez-Obaldo,2525,,W,Division,St,26,West Town,Humboldt Park,,03/17/2008,,"Doors, windows, HVAC, electrical, plumbing, masonry, floors",50000,96403,,,POINT (-87.690490004 41.902729008)
A Messe & Sons,Lauren Levy,2500,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,11/16/2009,06/30/2010,Industrial,"roof, tuckpointing",15475,30950,,,POINT (-87.689340006 41.88473302)
Consolidated Chemical Works,Warren Weisberg,400,,N,Ashland,Ave,27,West Town,Kinzie Industrial Corridor,,11/15/2001,Industrial,Tuckpointing and roof repair / replacement.,13764,27528,,,POINT (-87.667622998 41.889078995)
State Farm Insurance,Renato Delgadillo,6601,,S,Pulaski,Rd,13,West Lawn,63rd/Pulaski,03/19/2013,09/30/2013,Commercial,roofing,12187.5,16250,3,5,POINT (-87.722292034 41.773061008)
Geroge Zaremba & Virginia Silk,Geroge Zaremba & Virginia Silk,3404,,W,Lake,St,28,East Garfield Park,Midwest,,05/07/2008,Landlord,"Roof, HVAC, electrical, garage door, bathroom",50000,100283,,,POINT (-87.711521037 41.884925008)
Capitol Carton Co,Jeffery Gurevitz,1917,,W,Walnut,St,27,Near West Side,Kinzie Industrial Corridor,,12/21/2004,Industrial,Roof /,30212.5,60425,,,POINT (-87.675167968 41.885658005)
Law Offices of Barbara Demos,Law Offices of Barbara Demos,4750,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,12/03/2009,Commercial,ROOF,12271.5,24543,,,POINT (-87.760140015 41.966715996)
Andre Tyus Tyus Salon,Afro Exp,604,,S,Pulaski,Rd,24,West Garfield Park,Midwest,,05/05/2006,Commercial,Interior Build Out,12825,17100,,,POINT (-87.725641023 41.873235983)
Dream Factory Salon & Spa Inc,Aneta Szynalik,5635,,W,Belmont,Ave,30,Belmont Cragin,Belmont/Central,12/16/2009,05/24/2010,Commercial,"plumbing, electrical. HVAC, flooring, painting",37866.42,75732.84,,,POINT (-87.767881038 41.938200007)
Stephen Hill,Stephen Hill,9222,9244,S,Stony Island,Ave,8,Calumet Heights,Stony Island/Burnside,04/26/2011,02/13/2012,Commercial,"hvac, carpentry, roof, masontry, concrete, doors, chair list, electrical, signs, painting; address range is 9222-9244 S Stony Island Ave.",110410.91,147214.54,12,11,POINT (-87.585662989 41.727120006)
Chromium Industries Inc,Lorraine Heindengren,4645,,W,Chicago,Ave,28,Austin,Northwest Industrial Corridor,,10/07/2008,Industrial,roofing,50000,105550,,,POINT (-87.742647989 41.894758992)
Lysinski Ltd -Dental,Maria Lysinska,4418,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,06/30/2009,03/29/2011,Commercial,Interior Renovations,53350,106700,,,POINT (-87.755278008 41.961137001)
"Constellation Arts LLC & At Pluto, Ltd",Mike Reed,3111,,N,Western,Ave,32,North Center,Addison Corridor (South),12/11/2019,12/10/2020,General Commercial,"includes: masonry improvements (rebuild east elevation parapet wall, replace lintels, and tuckpointing)",12577.5,16770,4,5,POINT (-87.687642 41.938102987)
"Economy Auto, L.L.C. - 3415 W. Cermak Chicago",Nemecio Sanchez,3415,,W,Cermak,Rd,22,South Lawndale,Ogden/Pulaski,05/23/2017,01/24/2018,Commercial,"partial completion of the approved work scope: interior demolition; build-out an interior office space (furnish and install CMU walls, demising walls, picture windows and framing, interior doors, electrical outlets and switches, can lighting, drywall); renovations to the restroom space (demolition, frame out new walls, furnish and install new doors, underground rough cast iron plumbing supply and copper waste and vent lines, toilets, counters, drains, hot water tank, water fountain, and mop sink); furnish and install a new HVAC system (split furnace and a/c condenser); install exhaust in bathroom and office areas; furnish and install concrete and tile flooring; repairs to ceiling joists; roof repairs in connection with HVAC work, and furnish and install new LED shop lights, the balance of the approved project work scope and expenses: interior demolition; build-out an interior office space (furnish and install CMU walls, demising walls, picture windows and framing, interior doors, electrical outlets and switches, can lighting, drywall); renovations to the restroom space (demolition, frame out new walls, furnish and install new doors, underground rough cast iron plumbing supply and copper waste and vent lines, toilets, counters, drains, hot water tank, water fountain, and mop sink); furnish and install a new HVAC system (split furnace and a/c condenser); install exhaust in bathroom and office areas; furnish and install concrete and tile flooring; repairs to ceiling joists; roof repairs in connection with HVAC work, and furnish and install new LED shop lights",100000,137755,1,2,POINT (-87.710778987 41.85141902)
Steinhardt Builders Inc,Alan Steinhard,6252,,N,Lincoln,Ave,50,North Park,Lincoln Avenue,,01/12/2012,Commercial,"Add Second floor to existing building, ,",150000,211850.25,8,4,POINT (-87.715979036 41.99530101)
Drummond Industries Inc,Steven Loerop,2616,,N,Cicero,Ave,31,Belmont Cragin,Belmont/Cicero,,03/29/2011,Industrial,"façade, storefront, roof, windows",142989.15,274083.57,1,8,POINT (-87.746872971 41.928521004)
Chicago-Springfield Accounting Service LLC,Terrance Bagget,3848,,W,Chicago,Ave,37,Humboldt Park,Chicago Central Park,06/17/2010,10/29/2012,Commercial,"façade repair, new roof, heating systems, bathrom, plumbing system, interior walls, electrical improvements, new ceiling, back porch/storage area, , ,",60000,80000,17,,POINT (-87.723115975 41.895604013)
Phoenix Bean LLC,Jenny Yang,5438,,N,Broadway,St,48,Edgewater,Bryn Mawr Broadway,06/13/2012,10/03/2013,Industrial,"new roofing to include a complete tear-off, replace decking as needed, new flashings, remove skylights, apply a reflective aluminum coating, storefront renovation, and masonry. The project will also include interior renovations including framing, walls, doors, stainless steel/FRP wall coverings, HVAC system, partial plumbing, partial electrical, concrete flooring, and painting, walls, doors, bathroom, finish plumbing, finish electrical, and concrete flooring",69300,154450,1,10,POINT (-87.660413975 41.981115016)
L & P Provisions,Lonnie Peterson,1301,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,07/28/2005,Industrial,roof,41802,83604,,,POINT (-87.659059962 41.885121982)
"Chicago Glass Block, Inc.",Carol Basic,6036,,S,Central,Ave,13,Clearing,Archer/Central,08/02/2016,12/19/2016,Commercial,"tear-off roofing down to wood decking, installation of white granulated modified bitumen roofing membrane over insulation, heat welded and flashed, installation of termination bars, pitch pans, new lead soil stacks, galvanized slip flashing to be installed around each skylight and installation of a prefinished 24 gauge metal edge flashing around perimeter of upper and lower roof sections",20737.5,27650,1,5,POINT (-87.762236999 41.782396981)
BP Electric Motors,Berg Papazian,4014,,N,Western,Ave,47,North Center,Western Avenue (South),,08/23/2007,Commercial,Storefront,13456.94,173596,,,POINT (-87.68888797 41.954598991)
Raven Theatre Company,Michael Menendian,6157,,N,Clark,St,48,Edgewater,Clark/Ridge,12/09/2014,01/06/2016,Commercial,"HVAC improvements including replacement of rooftop compressor unit, exhaust fan, and heat exchanger; removal and replacement of damaged tree grates in public way by front façade; tuckpointing on north elevation; exterior painting on north, west, and south elevations; replacement of concrete by front entryway; structural signage improvements including replacement of reader board sign hung on south elevation with new aluminum pan sign (not including Raven Theatre-specific applications), installation of backer panel for back lit illumination of existing sign on front façade, removal of defunct box sign on north elevation and replacement with LED illuminated box sign (not including Raven Theatre-specific applications), and installation of bolted frame on recessed western elevation for banner signs (not including printed banners); electrical work including up lighting (fixtures and wiring) of front façade signage, wiring for LED box sign, installation of gooseneck light fixtures and wiring on south elevation, and installation of new LED light fixtures with all new wiring using existing and new conduit; replacement of deteriorated carpeting with new carpet; architectural services",98931.08,132365.1,2,8,POINT (-87.669646976 41.994271)
"Kelly Rauch, LLC dba Twice",Kelly Rauch,5450,,W,Belmont,Ave,30,Portage Park,Belmont/Central,03/20/2014,11/04/2014,Commercial,"new boiler and hot water heater,",6540,10900,0,1,POINT (-87.763611967 41.938878019)
"Antiques on Old Plank Road, Inc.",Robin Jill Buxbaum,1736,1756,N,Springfield,Ave,26,Humboldt Park,Pulaski Corridor,11/25/2014,08/13/2015,Industrial,new roof for 1750 N. Springfield: demolition; fasten existing decking; install new insulation and granulated bitumen roofing membrane including all needed flashings; repair existing drainage; install gutters and downspouts; reinstall clay copings with replacement of copings if needed; permit expenses; materials expenses.  Address range is 1736-56 N. Springfield.,79794,165475,0,13,POINT (-87.724039258 41.912835744)
Unique Car Wash Freee Car Care / South Side Taco,Robert Bernstein,7820,,S,Ashland,Ave,17,Auburn Gresham,79th Street Corridor,08/06/2011,08/16/2012,Commercial,Convert four bays of a carwash into a martial arts school and restaurant and retail store,150000,204000,10,,POINT (-87.66387897 41.751224013)
Mayfair Academy,Peggy Sutton,8701,,S,Bennett,Ave,8,Calumet Heights,Stony Island/Burnside,04/24/2012,11/16/2012,Commercial,,149850,199800,3,13,POINT (-87.577749969 41.736827005)
Ana Maria Saenz,Ana Maria Saenz,8944,,S,Commercial,Ave,10,South Chicago,Commercial Avenue,11/24/2015,03/27/2017,Commercial,"demolition, framing, new drywall, installation of doors, ceramic tile and laminate flooring, restroom build-out, plumbing work including new 1 ½’  water service, piping, insulation, clean out existing waste lines, installation of a water booster pump and water heater,  HVAC work including a new furnace, air condensers, new duct work, humidifier, registers, and exhaust fans, electrical work including installation of one 400 amp main distribution panel, two 200 amp meters, piping, wires, outlets, switches,  cover panels, and new light fixtures, painting and finishing work throughout, build-out of water closets, installation of sink, tuck-pointing, power-washing, installation of window sills, masonry including blocking of unnecessary openings, new gas lines and meters.",60000,95000,4,0,POINT (-87.551718963 41.732398007)
Goose Island Beer Co,John Hall,1800,,W,Fulton,Market,27,Near West Side,Kinzie Industrial Corridor,,12/04/2009,Industrial,"Roof, tuck-pointing, ductwork, HVAC",150000,304247,,,POINT (-87.672121985 41.887111008)
